Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Military expenditure (current USD),MS.MIL.XPND.CD,Afghanistan,AFG,..,..,298146852.519599,325807003.657989,238583385.374322,217194107.113298,268227074.235808,199518614.831897,185878310.062383,191407113.244397,198086263.3245,..
Military expenditure (current USD),MS.MIL.XPND.CD,Albania,ALB,..,45362503.3922719,185893241.995074,197006789.236335,183204695.660212,180015508.820867,178120368.027763,132350667.590834,130853162.620284,144382688.719935,180488725.123503,..
Military expenditure (current USD),MS.MIL.XPND.CD,Algeria,DZA,904269155.155841,1881163649.11945,5671309117.30702,8652237040.00252,9326287144.03632,10161588239.1481,9724379971.92326,10412714002.8964,10217081699.5693,10073364021.3013,9583724288.3703,..
Military expenditure (current USD),MS.MIL.XPND.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Angola,AGO,1751153151.94866,583621333.598924,3500794836.44649,3639496373.5446,4144634851.46856,6090751702.00884,6841864484.31861,3608299114.61674,2764054937.15976,3062872913.98381,1983613748.00089,..
Military expenditure (current USD),MS.MIL.XPND.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Argentina,ARG,2050907629.17129,3266633316.65833,3475348407.46349,4051930104.57065,4563217858.77234,5137974300.9699,4979442724.4582,5482616700.96393,4509647660.05234,5459643672.45401,4144991771.42212,..
Military expenditure (current USD),MS.MIL.XPND.CD,Armenia,ARM,..,68052142.0654426,395011507.787829,390871433.902191,380571678.896068,444551859.501106,457807021.791353,447379807.506819,431396218.601658,443610413.340995,608854649.862522,..
Military expenditure (current USD),MS.MIL.XPND.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Australia,AUS,6704213698.03132,7273760312.61052,23217692815.7335,26597198655.3381,26216580848.4356,24825262588.8168,25783708714.0042,24045569111.0239,26382947050.0183,27691112416.8515,26711834224.7385,..
Military expenditure (current USD),MS.MIL.XPND.CD,Austria,AUT,1972701681.51639,1925557398.19421,3218351224.09923,3409721208.58269,3187227448.7533,3229065841.34293,3305159256.48245,2665409781.52379,2885947386.10357,3138359204.00295,3367460382.82555,..
Military expenditure (current USD),MS.MIL.XPND.CD,Azerbaijan,AZE,..,119575651.71524,1476608733.57005,3080084995.80846,3246122612.63039,3367574161.19744,3427179917.06482,2943396692.69423,1396969107.65832,1528859592.29385,1708941176.47059,..
Military expenditure (current USD),MS.MIL.XPND.CD,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Bahrain,BHR,239361702.12766,359042553.191489,842819148.93617,1033510638.29787,1182180851.06383,1347606382.97872,1475265957.44681,1442021276.59574,1505534574.46809,1532712765.95745,1396808510.6383,..
Military expenditure (current USD),MS.MIL.XPND.CD,Bangladesh,BGD,373023438.959292,740798160.005685,1624625085.96641,1801539801.81356,1823425076.37789,2047989070.87034,2355991524.71152,2815281640.95454,3239738758.46616,3594007979.6026,3894695211.01616,..
Military expenditure (current USD),MS.MIL.XPND.CD,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Belarus,BLR,..,140326204.73339,767699285.884553,756277351.280397,817069894.085331,971107820.33885,1010827013.91149,723659954.96041,597207572.121991,631145399.244181,715166688.689712,..
Military expenditure (current USD),MS.MIL.XPND.CD,Belgium,BEL,4644324240.80376,3190805233.09379,5244720513.34689,5499370964.2666,5168997833.7235,5263164882.84678,5191509381.2684,4202062770.32272,4314102066.67306,4484652582.46034,4959692173.31775,..
Military expenditure (current USD),MS.MIL.XPND.CD,Belize,BLZ,4768750,7116125,15337250,15416250,15219125,17778875,19916875,19717625,21712887.5,23456750,23083112.5,..
Military expenditure (current USD),MS.MIL.XPND.CD,Benin,BEN,32817291.9765669,14496275.1553423,..,..,78223091.0412182,86003157.6390576,92990706.1881213,90896085.8906078,79581568.0520594,116142782.36694,90212425.9945842,..
Military expenditure (current USD),MS.MIL.XPND.CD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Bolivia,BOL,137065127.51571,173245422.524961,327413146.122021,403568566.057754,499870043.41534,564409840.81042,625885094.06657,575524224.942041,552381263.903278,574070189.61778,618842083.148114,..
Military expenditure (current USD),MS.MIL.XPND.CD,Bosnia and Herzegovina,BIH,..,..,219915489.524222,211878260.622344,197344650.21252,197617188.825905,190380454.641275,162215681.880471,157912010.578703,164638050.315372,221131597.126194,..
Military expenditure (current USD),MS.MIL.XPND.CD,Botswana,BWA,156250839.841545,184718394.612119,348672725.29226,363324481.153045,326874161.65079,306438573.576809,346281450.254454,383739877.542959,514463449.229697,522430455.515621,529481041.984864,..
Military expenditure (current USD),MS.MIL.XPND.CD,Brazil,BRA,9236296955.40526,11344032534.9018,34002944470.0238,36936209895.8053,33987005074.0629,32874787230.5887,32659614240.8021,24617701683.0655,24224746901.4667,29283050314.4654,27766427104.014,..
Military expenditure (current USD),MS.MIL.XPND.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Brunei Darussalam,BRN,231168587.554413,244205201.976844,390719540.010708,415371528.964711,411261473.947038,412094279.75415,527785231.721177,424022039.167265,403366488.712977,346706804.42155,346588691.003794,..
Military expenditure (current USD),MS.MIL.XPND.CD,Bulgaria,BGR,794520547.945205,351343204.852869,893467533.961919,829031753.480369,807529319.010545,899584003.474555,835716950.628033,660847880.299252,755406457.646367,824187016.888685,1095591046.96115,..
Military expenditure (current USD),MS.MIL.XPND.CD,Burkina Faso,BFA,84465502.3598333,36658539.0518782,123700474.683864,138850860.201837,147729698.91896,166136345.235204,177166954.886077,147934736.66413,149467363.227452,191065838.764304,312467610.986353,..
Military expenditure (current USD),MS.MIL.XPND.CD,Burundi,BDI,39602347.3767189,42321552.2157761,..,..,58966662.2761714,60859500.0932422,62177294.739088,66164584.4355924,66462843.0779874,63908678.4320088,65436595.2627955,..
